基金代码,基金名称,基金公司,基金类型,投资类型,股票仓位(%),3个月收益(%),6个月收益(%),9个月收益(%),重点管理人
019685.OF,华商鸿裕利率债,华商基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018736.OF,景顺长城景颐裕利A,景顺长城基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019179.OF,富国瑞丰纯债C,富国基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020068.OF,富国安福30天滚动持有E,富国基金,债券型,债券型,0.0,0.0,0.0,0.0,否
020066.OF,富国安泰90天短债E,富国基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019397.OF,博时双月乐60天持有C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019396.OF,博时双月乐60天持有A,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019517.OF,财通资管鸿兴60天持有C,财通证券资管,债券型,债券型,0.0,0.0,0.0,0.0,否
019516.OF,财通资管鸿兴60天持有A,财通证券资管,债券型,债券型,0.0,0.0,0.0,0.0,否
018692.OF,兴全恒盛90天持有C,兴证全球基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019676.OF,太平福安稳健养老一年持有A,太平基金,混合型,混合型,0.0,0.0,0.0,0.0,否
018050.OF,长江乐睿纯债一年定开A,长江资管,债券型,债券型,0.0,0.0,0.0,0.0,否
018051.OF,长江乐睿纯债一年定开C,长江资管,债券型,债券型,0.0,0.0,0.0,0.0,否
020024.OF,博时信用债纯债B,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019968.OF,博时裕景纯债C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019762.OF,泰信添益90天持有A,泰信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019977.OF,博时富信纯债C,博时基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019681.OF,尚正正享A,尚正基金,债券型,债券型,0.0,-2.733841046670571,0.0,0.0,否
019763.OF,泰信添益90天持有C,泰信基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019492.OF,大成景熙利率债C,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019491.OF,大成景熙利率债A,大成基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018056.OF,鹏扬淳泰一年定开,鹏扬基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019038.OF,海富通添利收益一年持有A,海富通基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018272.OF,嘉实稳健兴享6个月持有A,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018273.OF,嘉实稳健兴享6个月持有C,嘉实基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019039.OF,海富通添利收益一年持有C,海富通基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019042.OF,浦银安盛稳健富利180天持有C,浦银安盛基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019041.OF,浦银安盛稳健富利180天持有A,浦银安盛基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019648.OF,中海中短债C,中海基金,债券型,债券型,0.0,0.0,0.0,0.0,否
019608.OF,华泰紫金稳健养老目标一年持有A,华泰证券资管,混合型,混合型,0.0,0.0,0.0,0.0,否
