日期,高拥挤Top6等权%,低拥挤Bot6等权%,高-低轧差%,轧差净值,Top6行业,Bottom6行业
03/17,0.6233333333333333,0.21666666666666667,0.4066666666666666,1.0549729138262578,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 通信, 汽车"
03/18,-0.2383333333333333,0.6583333333333333,-0.8966666666666666,1.0455133233656158,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/19,-0.48666666666666664,-0.76,0.2733333333333334,1.048371059782815,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/20,-0.135,-0.41333333333333333,0.2783333333333333,1.0512890258992107,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/21,-0.5483333333333333,-2.46,1.9116666666666666,1.0713861677776506,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/24,-0.7366666666666667,-0.715,-0.021666666666666723,1.0711540341079655,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/25,0.31166666666666665,-1.4283333333333335,1.7400000000000002,1.0897921143014442,"综合, 美容护理, 煤炭, 建筑材料, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/26,0.52,0.505,0.015000000000000013,1.0899555831185894,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/27,-0.35833333333333334,-0.35333333333333333,-0.0050000000000000044,1.0899010853394335,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 纺织服饰","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/28,-1.26,-0.87,-0.39,1.0856504711066097,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
03/31,-0.9283333333333333,-0.67,-0.2583333333333333,1.082845874056251,"综合, 美容护理, 建筑材料, 煤炭, 石油石化, 钢铁","电子, 计算机, 机械设备, 电力设备, 汽车, 通信"
