trade_date,ts_code,close,pct_chg
20250310,000688.SH,1105.1639,-0.222
20250311,000688.SH,1100.7418,-0.4001
20250312,000688.SH,1092.7079,-0.7299
20250313,000688.SH,1069.7032,-2.1053
20250314,000688.SH,1088.1125,1.721
20250317,000688.SH,1083.2131,-0.4503
20250318,000688.SH,1089.8254,0.6104
20250319,000688.SH,1076.9372,-1.1826
20250320,000688.SH,1064.7929,-1.1277
20250321,000688.SH,1042.8926,-2.0568
20250324,000688.SH,1045.9416,0.2924
20250325,000688.SH,1031.697,-1.3619
20250326,000688.SH,1029.0548,-0.2561
20250327,000688.SH,1040.5698,1.119
20250328,000688.SH,1029.4762,-1.0661
20250331,000688.SH,1022.7139,-0.6569
20250401,000688.SH,1024.3754,0.1625
20250402,000688.SH,1022.7482,-0.1588
20250403,000688.SH,1018.0723,-0.4572
20250407,000688.SH,924.1733,-9.2232
20250408,000688.SH,940.0905,1.7223
20250409,000688.SH,980.5688,4.3058
20250410,000688.SH,991.2244,1.0867
20250411,000688.SH,1011.7084,2.0665
20250414,000688.SH,1014.2834,0.2545
20250415,000688.SH,1006.3395,-0.7832
20250416,000688.SH,1014.5088,0.8118
20250417,000688.SH,1016.8117,0.227
20250418,000688.SH,1008.597,-0.8079
20250421,000688.SH,1019.4109,1.0722
20250422,000688.SH,1016.2181,-0.3132
20250423,000688.SH,1012.6475,-0.3514
20250424,000688.SH,1003.3159,-0.9215
20250425,000688.SH,1004.5718,0.1252
20250428,000688.SH,1002.8319,-0.1732
20250429,000688.SH,1003.8667,0.1032
20250430,000688.SH,1012.4165,0.8517
20250506,000688.SH,1026.5205,1.3931
20250507,000688.SH,1030.1857,0.3571
20250508,000688.SH,1026.4389,-0.3637
20250509,000688.SH,1006.3189,-1.9602
20250512,000688.SH,1011.2314,0.4882
20250513,000688.SH,1009.6822,-0.1532
20250514,000688.SH,1013.772,0.4051
20250515,000688.SH,1000.9687,-1.2629
20250516,000688.SH,995.2366,-0.5727
20250519,000688.SH,995.2547,0.0018
20250520,000688.SH,997.6773,0.2434
20250521,000688.SH,995.4867,-0.2196
20250522,000688.SH,990.7112,-0.4797
20250523,000688.SH,980.5781,-1.0228
20250526,000688.SH,982.2605,0.1716
20250527,000688.SH,972.9197,-0.9509
20250528,000688.SH,970.6401,-0.2343
20250529,000688.SH,986.302,1.6136
20250530,000688.SH,977.0265,-0.9404
20250603,000688.SH,981.7102,0.4794
20250604,000688.SH,986.1106,0.4482
20250605,000688.SH,996.4072,1.0442
20250606,000688.SH,991.6422,-0.4782
20250609,000688.SH,997.6118,0.602
20250610,000688.SH,982.9043,-1.4743
20250611,000688.SH,980.9328,-0.2006
20250612,000688.SH,977.9731,-0.3017
20250613,000688.SH,972.9408,-0.5146
20250616,000688.SH,970.8914,-0.2106
20250617,000688.SH,963.0834,-0.8042
20250618,000688.SH,968.1791,0.5291
20250619,000688.SH,962.9431,-0.5408
20250620,000688.SH,957.8718,-0.5266
20250623,000688.SH,961.4888,0.3776
20250624,000688.SH,978.7142,1.7915
20250625,000688.SH,995.6097,1.7263
20250626,000688.SH,989.9724,-0.5662
20250627,000688.SH,988.2112,-0.1779
20250630,000688.SH,1003.4137,1.5384
20250701,000688.SH,994.7951,-0.8589
20250702,000688.SH,982.6362,-1.2223
20250703,000688.SH,984.9489,0.2354
20250704,000688.SH,984.8018,-0.0149
20250707,000688.SH,978.2931,-0.6609
20250708,000688.SH,991.9481,1.3958
20250709,000688.SH,983.1111,-0.8909
20250710,000688.SH,979.9891,-0.3176
20250711,000688.SH,994.4481,1.4754
20250714,000688.SH,992.3886,-0.2071
20250715,000688.SH,996.2455,0.3886
20250716,000688.SH,997.6299,0.139
20250717,000688.SH,1005.648,0.8037
20250718,000688.SH,1007.5252,0.1867
20250721,000688.SH,1007.8938,0.0366
20250722,000688.SH,1016.2653,0.8306
20250723,000688.SH,1020.8554,0.4517
20250724,000688.SH,1032.8379,1.1738
20250725,000688.SH,1054.1956,2.0679
20250728,000688.SH,1055.1086,0.0866
20250729,000688.SH,1070.4479,1.4538
20250730,000688.SH,1058.5715,-1.1095
20250731,000688.SH,1047.8699,-1.0109
20250801,000688.SH,1036.7746,-1.0588
20250804,000688.SH,1049.4062,1.2184
20250805,000688.SH,1053.6462,0.404
20250806,000688.SH,1059.7614,0.5804
20250807,000688.SH,1058.2051,-0.1469
20250808,000688.SH,1043.5366,-1.3862
20250811,000688.SH,1049.7296,0.5935
20250812,000688.SH,1069.8089,1.9128
20250813,000688.SH,1077.6978,0.7374
20250814,000688.SH,1085.7358,0.7458
20250815,000688.SH,1101.2931,1.4329
20250818,000688.SH,1124.8218,2.1365
20250819,000688.SH,1112.2662,-1.1162
20250820,000688.SH,1148.1469,3.2259
20250821,000688.SH,1149.1507,0.0874
20250822,000688.SH,1247.8621,8.5899
20250825,000688.SH,1287.7338,3.1952
20250826,000688.SH,1270.8712,-1.3095
20250827,000688.SH,1272.5561,0.1326
20250828,000688.SH,1364.6045,7.2333
20250829,000688.SH,1341.3106,-1.707
20250901,000688.SH,1357.1484,1.1808
20250902,000688.SH,1328.2792,-2.1272
20250903,000688.SH,1306.4787,-1.6413
20250904,000688.SH,1226.9847,-6.0846
20250905,000688.SH,1268.5517,3.3877
20250908,000688.SH,1275.8677,0.5767
20250909,000688.SH,1245.5284,-2.3779
20250910,000688.SH,1259.0959,1.0893
20250911,000688.SH,1326.0329,5.3163
20250912,000688.SH,1338.018,0.9038
20250915,000688.SH,1340.3966,0.1778
20250916,000688.SH,1358.0474,1.3168
20250917,000688.SH,1370.4299,0.9118
20250918,000688.SH,1380.351,0.7239
20250919,000688.SH,1362.6494,-1.2824
20250922,000688.SH,1408.6445,3.3754
20250923,000688.SH,1407.3017,-0.0953
20250924,000688.SH,1456.4693,3.4937
20250925,000688.SH,1474.4866,1.2371
20250926,000688.SH,1450.824,-1.6048
20250929,000688.SH,1470.4144,1.3503
20250930,000688.SH,1495.2878,1.6916
20251009,000688.SH,1539.081,2.9287
20251010,000688.SH,1452.6753,-5.6141
20251013,000688.SH,1473.0172,1.4003
20251014,000688.SH,1410.3004,-4.2577
20251015,000688.SH,1429.9966,1.3966
20251016,000688.SH,1416.575,-0.9386
20251017,000688.SH,1363.1684,-3.7701
20251020,000688.SH,1367.8986,0.347
20251021,000688.SH,1406.3183,2.8087
20251022,000688.SH,1405.407,-0.0648
20251023,000688.SH,1401.2558,-0.2954
20251024,000688.SH,1462.222,4.3508
20251027,000688.SH,1484.2064,1.5035
20251028,000688.SH,1471.7309,-0.8406
20251029,000688.SH,1489.1233,1.1818
20251030,000688.SH,1461.3001,-1.8684
20251031,000688.SH,1415.5254,-3.1325
20251103,000688.SH,1400.8585,-1.0361
20251104,000688.SH,1387.2392,-0.9722
20251105,000688.SH,1390.3946,0.2275
20251106,000688.SH,1436.858,3.3417
20251107,000688.SH,1415.6855,-1.4735
20251110,000688.SH,1407.5576,-0.5741
20251111,000688.SH,1387.5337,-1.4226
20251112,000688.SH,1379.4518,-0.5825
20251113,000688.SH,1399.2916,1.4382
20251114,000688.SH,1361.2323,-2.7199
20251117,000688.SH,1354.0376,-0.5285
20251118,000688.SH,1357.9264,0.2872
20251119,000688.SH,1344.7956,-0.967
20251120,000688.SH,1328.1856,-1.2351
20251121,000688.SH,1285.8303,-3.189
20251124,000688.SH,1296.6023,0.8377
20251125,000688.SH,1302.1669,0.4292
20251126,000688.SH,1315.0411,0.9887
20251127,000688.SH,1310.7005,-0.3301
20251128,000688.SH,1327.1493,1.255
20251201,000688.SH,1336.7561,0.7239
20251202,000688.SH,1320.1564,-1.2418
20251203,000688.SH,1308.3672,-0.893
20251204,000688.SH,1326.1646,1.3603
20251205,000688.SH,1326.1014,-0.0048
20251208,000688.SH,1350.795,1.8621
20251209,000688.SH,1347.1052,-0.2732
20251210,000688.SH,1346.7028,-0.0299
20251211,000688.SH,1325.8307,-1.5499
20251212,000688.SH,1348.8808,1.7385
20251215,000688.SH,1318.9064,-2.2222
20251216,000688.SH,1293.3824,-1.9352
20251217,000688.SH,1325.3349,2.4705
20251218,000688.SH,1305.9664,-1.4614
20251219,000688.SH,1308.5889,0.2008
20251222,000688.SH,1335.2451,2.037
20251223,000688.SH,1340.015,0.3572
20251224,000688.SH,1352.1261,0.9038
20251225,000688.SH,1349.0577,-0.2269
20251226,000688.SH,1345.8267,-0.2395
20251229,000688.SH,1346.3188,0.0366
20251230,000688.SH,1359.8734,1.0068
20251231,000688.SH,1344.2002,-1.1525
20260105,000688.SH,1403.4142,4.4051
20260106,000688.SH,1429.3023,1.8447
20260107,000688.SH,1443.388,0.9855
20260108,000688.SH,1455.1729,0.8165
20260109,000688.SH,1475.9676,1.429
20260112,000688.SH,1511.836,2.4302
20260113,000688.SH,1469.5699,-2.7957
20260114,000688.SH,1500.911,2.1327
20260115,000688.SH,1493.945,-0.4641
20260116,000688.SH,1514.0681,1.347
20260119,000688.SH,1506.8571,-0.4763
20260120,000688.SH,1482.9941,-1.5836
20260121,000688.SH,1535.3934,3.5333
20260122,000688.SH,1541.638,0.4067
20260123,000688.SH,1553.7073,0.7829
20260126,000688.SH,1532.796,-1.3459
20260127,000688.SH,1555.9783,1.5124
20260128,000688.SH,1554.8037,-0.0755
20260129,000688.SH,1507.6398,-3.0334
20260130,000688.SH,1509.4018,0.1169
20260202,000688.SH,1450.8976,-3.876
20260203,000688.SH,1471.0688,1.3903
20260204,000688.SH,1453.4764,-1.1959
20260205,000688.SH,1432.5216,-1.4417
20260206,000688.SH,1422.406,-0.7061
20260209,000688.SH,1458.1627,2.5138
20260210,000688.SH,1471.4978,0.9145
20260211,000688.SH,1455.1144,-1.1134
20260212,000688.SH,1480.9946,1.7786
20260213,000688.SH,1470.3333,-0.7199
20260224,000688.SH,1465.365,-0.3379
20250120,399303.SZ,7492.3156,0.8647
20250121,399303.SZ,7526.8768,0.4613
20250122,399303.SZ,7448.0754,-1.0469
20250123,399303.SZ,7421.9854,-0.3503
20250124,399303.SZ,7557.9487,1.8319
20250127,399303.SZ,7434.541,-1.6328
20250205,399303.SZ,7506.2492,0.9645
20250206,399303.SZ,7718.1509,2.823
20250207,399303.SZ,7833.9543,1.5004
20250210,399303.SZ,7965.0174,1.673
20250211,399303.SZ,7939.525,-0.3201
20250212,399303.SZ,8054.5619,1.4489
20250213,399303.SZ,7959.4985,-1.1802
20250214,399303.SZ,7988.4931,0.3643
20250217,399303.SZ,8076.158,1.0974
20250218,399303.SZ,7881.1838,-2.4142
20250219,399303.SZ,8095.6875,2.7217
20250220,399303.SZ,8171.5816,0.9375
20250221,399303.SZ,8314.9542,1.7545
20250224,399303.SZ,8323.9112,0.1077
20250225,399303.SZ,8288.4738,-0.4257
20250226,399303.SZ,8414.0268,1.5148
20250227,399303.SZ,8380.7084,-0.396
20250228,399303.SZ,8055.5681,-3.8796
20250303,399303.SZ,8067.8112,0.152
20250304,399303.SZ,8179.8779,1.3891
20250305,399303.SZ,8241.8588,0.7577
20250306,399303.SZ,8422.9334,2.197
20250307,399303.SZ,8377.9881,-0.5336
20250310,399303.SZ,8392.966,0.1788
20250311,399303.SZ,8419.2467,0.3131
20250312,399303.SZ,8458.6798,0.4684
20250313,399303.SZ,8315.9604,-1.6873
20250314,399303.SZ,8462.7031,1.7646
20250317,399303.SZ,8505.1224,0.5013
20250318,399303.SZ,8546.4263,0.4856
20250319,399303.SZ,8491.9817,-0.637
20250320,399303.SZ,8476.9773,-0.1767
20250321,399303.SZ,8302.6776,-2.0562
20250324,399303.SZ,8207.61,-1.145
20250325,399303.SZ,8129.2351,-0.9549
20250326,399303.SZ,8186.8309,0.7085
20250327,399303.SZ,8156.608,-0.3692
20250328,399303.SZ,8055.157,-1.2438
20250331,399303.SZ,7987.557,-0.8392
20250401,399303.SZ,8043.7214,0.7031
20250402,399303.SZ,8067.5562,0.2963
20250403,399303.SZ,7970.1266,-1.2077
20250407,399303.SZ,6981.0045,-12.4104
20250408,399303.SZ,7002.3747,0.3061
