date,limit_date,all_count,all_valid,all_return,all_gap,all_nav,all_bias,first_count,first_valid,first_return,first_gap,first_nav,first_bias
20260129,20260128,80,80,3.243,3.6619,7.826174,21.06,70,70,3.0107,3.1931,5.856068,18.31
20260130,20260129,82,82,-1.1495,0.0043,7.736215,17.17,63,63,-1.0452,0.5075,5.79486,14.88
20260202,20260130,48,48,0.8594,1.4253,7.8027,15.79,41,41,0.3388,1.5397,5.814494,13.26
20260203,20260202,36,36,4.667,1.5088,8.166856,18.75,26,26,4.2389,0.7634,6.060965,16.04
20260204,20260203,69,69,3.5145,3.1596,8.453881,20.31,59,59,3.5829,2.8637,6.278123,17.96
20260205,20260204,68,68,0.4019,0.1873,8.487856,18.44,56,56,0.1118,0.2216,6.285144,16.07
20260206,20260205,44,44,-0.0917,0.8388,8.480073,16.22,34,34,-1.4374,-0.0183,6.194801,12.67
20260209,20260206,55,55,3.3717,2.752,8.765997,18.13,47,47,3.0994,2.2067,6.386802,14.54
20260210,20260209,83,83,3.2725,3.6661,9.052867,19.81,69,69,3.9579,3.7571,6.639585,17.2
20260211,20260210,60,60,-0.2247,1.6696,9.032526,17.67,39,39,-2.0961,-0.5987,6.50041,13.26
20260212,20260211,51,51,2.7633,1.1186,9.28212,18.74,40,40,3.0789,1.4256,6.700548,14.93
20260213,20260212,60,60,-1.6571,0.1039,9.128303,14.8,43,43,-1.957,-0.6972,6.56942,11.1
20260224,20260213,32,32,2.5892,2.1403,9.364656,15.77,27,27,2.6973,1.792,6.746619,12.5
20260225,20260224,92,92,3.5652,1.851,9.698522,17.78,85,85,3.4751,1.679,6.98107,14.68
20260226,20260225,75,75,1.3821,1.5472,9.832567,17.31,57,57,0.7778,1.3297,7.035371,13.9
20260302,20260227,75,75,2.8205,1.7182,10.109899,18.47,65,65,2.9219,1.3973,7.240939,15.49
20260304,20260303,82,82,-3.7056,0.0291,9.735266,12.42,45,45,-6.7263,-1.0276,6.753893,6.64
20260305,20260304,44,44,2.4905,4.1932,9.977723,13.42,38,38,3.2746,5.1129,6.975058,8.87
20260306,20260305,69,69,1.3889,-0.0908,10.116305,13.26,62,62,0.9115,-0.6832,7.038639,8.67
