date,contract,name,fut_close,spot_close,basis,basis_pct,annual_basis_pct,fut_vol,fut_amount,fut_oi
20260506,IC,中证500,8497.6,8588.44,-90.84,-1.0577,-12.69,82861.0,14094005.304,159098.0
20260506,IF,沪深300,4839.4,4877.09,-37.69,-0.7729,-9.27,65439.0,9505082.004,149562.0
20260506,IH,上证50,3007.6,3026.44,-18.84,-0.6226,-7.47,32480.0,2931625.44,61146.0
20260506,IM,中证1000,8461.6,8574.56,-112.96,-1.3173,-15.81,125707.0,21345232.316,209410.0
20260507,IC,中证500,8624.8,8696.8,-72.0,-0.8279,-9.93,66653.0,11428553.428,152162.0
20260507,IF,沪深300,4862.4,4900.51,-38.11,-0.7777,-9.33,47821.0,6958798.746,139375.0
20260507,IH,上证50,3012.0,3029.19,-17.19,-0.5676,-6.81,23396.0,2114638.464,58594.0
20260507,IM,中证1000,8627.6,8714.51,-86.91,-0.9973,-11.97,105701.0,18107247.668,203897.0
20260508,IC,中证500,8620.8,8694.17,-73.37,-0.8439,-10.13,66400.0,11424034.632,152876.0
20260508,IF,沪深300,4836.8,4871.91,-35.11,-0.7207,-8.65,48802.0,7078486.38,142019.0
20260508,IH,上证50,2981.6,3003.58,-21.98,-0.7319,-8.78,29243.0,2618322.078,59388.0
20260508,IM,中证1000,8642.2,8741.15,-98.95,-1.132,-13.58,104560.0,18035134.328,202338.0
20260511,IC,中证500,8738.6,8839.74,-101.14,-1.1442,-13.73,92144.0,16064699.196,162230.0
20260511,IF,沪深300,4912.6,4951.84,-39.24,-0.7924,-9.51,69715.0,10222772.496,148526.0
20260511,IH,上证50,3022.8,3041.63,-18.83,-0.6192,-7.43,37231.0,3359666.43,62362.0
20260511,IM,中证1000,8723.0,8866.78,-143.78,-1.6215,-19.46,132269.0,23086675.188,213675.0
20260512,IC,中证500,8695.4,8785.98,-90.58,-1.031,-12.37,80291.0,13964982.348,153875.0
20260512,IF,沪深300,4911.6,4948.05,-36.45,-0.7366,-8.84,56132.0,8272817.526,143740.0
20260512,IH,上证50,3029.2,3043.56,-14.36,-0.4717,-5.66,29636.0,2689830.492,59214.0
20260512,IM,中证1000,8701.8,8821.89,-120.09,-1.3612,-16.33,118147.0,20540525.908,202384.0
