trade_date,symbol,close,vol,amount,oi
20260226,AL,23845.0,266795.0,3183131.53,252168.0
20260227,AL,23835.0,318251.0,3772801.32,258690.0
20260225,SC,488.3,101539.0,4971591.48,41464.0
20260226,SC,483.6,75182.0,3655613.65,40598.0
20260227,SC,488.4,144312.0,6989916.39,38973.0
20260225,FU,2943.0,666956.0,1957086.96,292353.0
20260226,FU,2987.0,956667.0,2859775.12,289860.0
20260227,FU,2960.0,868275.0,2538137.36,265211.0
20260302,RB,3067.0,1029503.0,3163136.99,1903813.0
20260303,RB,3074.0,788272.0,2417711.6,1881888.0
20260302,I,754.5,266635.0,1996467.23,542727.0
20260303,I,753.5,239558.0,1794960.14,532861.0
20260302,Y,8260.0,328276.0,2709813.17,656400.0
20260303,Y,8350.0,375074.0,3125269.44,657129.0
20260302,P,8898.0,489772.0,4335812.5,387932.0
20260303,P,8994.0,531213.0,4771572.55,371591.0
20260302,CU,103850.0,175311.0,9076826.58,199589.0
20260303,CU,102100.0,177854.0,9107267.58,197898.0
20260302,AL,24465.0,483091.0,5808773.57,277833.0
20260303,AL,23905.0,611850.0,7414581.98,257374.0
20260302,SC,527.8,190029.0,9711830.5,44601.0
20260303,SC,572.3,208804.0,11743578.64,43872.0
20260302,FU,3186.0,1046282.0,3245512.8,300245.0
20260303,FU,3473.0,1706156.0,5821344.87,325957.0
20260304,RB,3071.0,710699.0,2183364.01,1839511.0
20260304,I,752.0,230305.0,1726902.24,525573.0
20260304,Y,8370.0,291264.0,2437929.0,658889.0
20260304,P,9002.0,420332.0,3788472.0,361707.0
20260304,CU,101660.0,162954.0,8249317.39,194959.0
20260304,AL,24795.0,612472.0,7501780.28,263422.0
20260304,SC,641.1,254949.0,15909187.35,40170.0
20260304,FU,3888.0,2989737.0,11348619.8,325459.0
20260305,RB,3075.0,806140.0,2482945.28,1837275.0
20260305,I,759.0,435406.0,3315865.5,498769.0
20260305,Y,8370.0,275271.0,2297754.96,659855.0
20260305,P,9070.0,516475.0,4648126.22,364671.0
20260305,CU,101080.0,138725.0,7028868.69,201141.0
20260305,AL,24815.0,717295.0,9024292.72,251449.0
20260305,SC,664.1,469446.0,31253368.55,35820.0
20260305,FU,3845.0,4945491.0,19331622.96,323642.0
20260306,RB,3088.0,704303.0,2168731.494,1798732.0
20260306,I,772.0,264653.0,2029923.505,488265.0
20260306,Y,8412.0,348170.0,2926828.236,670756.0
20260306,P,9218.0,526628.0,4818006.896,378262.0
20260306,CU,101050.0,127018.0,6400832.605,195682.0
20260306,AL,24715.0,453406.0,5567667.4125,225648.0
20260306,SC,664.8,404194.0,26667825.9,34244.0
20260306,FU,3972.0,3678100.0,14302236.771,287491.0
20260309,RB,3119.0,1576431.0,4915011.98,1740832.0
20260309,I,784.5,411614.0,3219054.88,473257.0
20260309,Y,8672.0,936143.0,8161563.4,656575.0
20260309,P,9720.0,892943.0,8560699.83,385075.0
20260309,CU,100190.0,194918.0,9734970.19,199857.0
20260309,AL,24950.0,792881.0,9994335.68,219433.0
20260309,SC,771.8,261752.0,19544527.9,36101.0
20260309,FU,4548.0,1622804.0,7200406.07,255162.0
20260310,RB,3104.0,795516.0,2471615.76,1731363.0
20260310,I,784.0,296472.0,2315050.99,467965.0
20260310,Y,8444.0,504504.0,4294476.9,611399.0
20260310,P,9462.0,882402.0,8364866.74,338307.0
20260310,CU,101520.0,115758.0,5854651.91,194900.0
20260310,AL,24880.0,425557.0,5256888.01,206507.0
20260310,SC,666.3,319095.0,23372537.94,31422.0
20260310,FU,4386.0,2868762.0,13023224.25,267296.0
20260311,RB,3115.0,534162.0,1659947.58,1722422.0
20260312,RB,3120.0,765830.0,2392938.08,1676246.0
