date,index_name,daily_buy_amt,daily_sell_amt,daily_net_amt,cum_position,cost_price,close_price,pnl_pct,abnormal_bars
20241025,沪深300,0.0,0.0,0.0,1465.83,3.6146,4.092,13.21,0
20241028,沪深300,0.0,0.0,0.0,1467.26,3.6146,4.096,13.32,0
20241029,沪深300,0.0,0.4573,-0.4573,1454.45,3.6146,4.0615,12.36,1
20241030,沪深300,0.0,0.2547,-0.2547,1439.33,3.6146,4.02,11.22,1
20241031,沪深300,0.0,0.0,0.0,1440.4,3.6146,4.023,11.3,0
20241101,沪深300,1.1202,0.0,1.1202,1443.67,3.6147,4.029,11.46,1
20241104,沪深300,0.0,0.0,0.0,1463.37,3.6147,4.084,12.98,0
20241105,沪深300,6.956,4.1932,2.7628,1503.28,3.6157,4.1875,15.81,4
20241106,沪深300,0.3713,7.7469,-7.3757,1488.01,3.6158,4.1655,15.2,3
20241107,沪深300,22.6581,1.9722,20.6859,1557.29,3.6195,4.3005,18.81,6
20241108,沪深300,0.6729,12.2148,-11.5418,1527.77,3.6197,4.2505,17.43,7
20241111,沪深300,1.802,3.0882,-1.2862,1533.65,3.62,4.2705,17.97,3
20241112,沪深300,3.8269,4.6858,-0.8589,1515.15,3.6207,4.2215,16.59,4
20241113,沪深300,0.0,0.0,0.0,1524.84,3.6207,4.2485,17.34,0
20241114,沪深300,0.0,0.0,0.0,1499.36,3.6207,4.1775,15.38,0
20241115,沪深300,0.0,2.5457,-2.5457,1471.17,3.6207,4.106,13.4,3
20241118,沪深300,2.1759,0.0,2.1759,1467.58,3.621,4.09,12.95,1
20241119,沪深300,1.4267,1.5108,-0.0841,1475.02,3.6212,4.111,13.53,3
20241120,沪深300,0.6021,0.0,0.6021,1478.85,3.6212,4.12,13.77,1
20241121,沪深300,0.356,0.0,0.356,1480.83,3.6213,4.1245,13.9,1
20241122,沪深300,0.0,0.6866,-0.6866,1436.35,3.6213,4.0025,10.53,1
20241125,沪深300,0.0,0.0,0.0,1427.92,3.6213,3.979,9.88,0
20241126,沪深300,0.0,0.0,0.0,1425.76,3.6213,3.973,9.71,0
20241127,沪深300,2.9583,0.0,2.9583,1452.25,3.6216,4.0385,11.51,2
20241128,沪深300,0.0,0.0,0.0,1441.1,3.6216,4.0075,10.65,0
20241129,沪深300,15.3787,1.6683,13.7104,1470.06,3.6235,4.05,11.77,3
20241202,沪深300,0.0,0.0,0.0,1481.49,3.6235,4.0815,12.64,0
20241203,沪深300,1.1385,0.3451,0.7934,1484.47,3.6237,4.0875,12.8,2
20241204,沪深300,0.0,0.0,0.0,1476.11,3.6237,4.0645,12.16,0
20241205,沪深300,0.0,0.0,0.0,1473.57,3.6237,4.0575,11.97,0
20241206,沪深300,17.2053,12.272,4.9332,1497.39,3.626,4.1095,13.33,5
20241209,沪深300,6.4069,2.5319,3.875,1500.01,3.6268,4.106,13.21,2
20241210,沪深300,5.7603,39.2104,-33.4501,1478.08,3.6277,4.136,14.01,6
20241211,沪深300,2.222,0.0,2.222,1477.26,3.628,4.1275,13.77,2
20241212,沪深300,6.4165,5.09,1.3265,1493.27,3.629,4.1685,14.87,6
20241213,沪深300,8.289,32.2864,-23.9973,1434.23,3.63,4.07,12.12,11
20241216,沪深300,0.0,0.0,0.0,1426.47,3.63,4.048,11.52,0
20241217,沪深300,4.4177,3.7902,0.6275,1430.46,3.6305,4.0575,11.76,3
20241218,沪深300,2.4232,0.0,2.4232,1439.22,3.6308,4.0755,12.25,1
20241219,沪深300,1.3507,0.1021,1.2487,1442.95,3.631,4.0825,12.43,3
20241220,沪深300,2.6552,2.678,-0.0228,1438.33,3.6313,4.0695,12.07,5
20241223,沪深300,5.7974,2.0424,3.755,1443.13,3.6321,4.0725,12.13,4
