ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
127068.SZ,002996.SZ,11.27,20280812,20220907,顺博转债,100.0
127069.SZ,002959.SZ,52.19,20280812,20220907,小熊转债,100.0
123155.SZ,301040.SZ,31.76,20280812,20220831,中陆转债,100.0
127070.SZ,001203.SZ,10.76,20280817,20221011,大中转债,100.0
118018.SH,688323.SH,30.91,20280818,20220914,瑞科转债,100.0
127071.SZ,003009.SZ,52.88,20280822,20220919,天箭转债,100.0
123157.SZ,300663.SZ,16.01,20280830,20220920,科蓝转债,100.0
113656.SH,603535.SH,10.35,20280901,20221012,嘉诚转债,100.0
113062.SH,601128.SH,5.89,20280915,20221017,常银转债,100.0
113658.SH,603713.SH,55.72,20270916,20221025,密卫转债,100.0
110089.SH,600141.SH,28.4,20280922,20221031,兴发转债,100.0
127072.SZ,002698.SZ,15.06,20280922,20221103,博实转债,100.0
110090.SH,600933.SH,17.55,20280923,20221028,爱迪转债,100.0
118020.SH,688148.SH,14.0,20280923,20221107,芳源转债,100.0
127073.SZ,002709.SZ,28.5,20270923,20221027,天赐转债,100.0
123158.SZ,300037.SZ,41.05,20280926,20221021,宙邦转债,100.0
118021.SH,688590.SH,10.53,20280927,20221102,新致转债,100.0
123159.SZ,301002.SZ,24.35,20280927,20221024,崧盛转债,100.0
123160.SZ,300992.SZ,19.77,20280928,20221025,泰福转债,100.0
113657.SH,603601.SH,4.22,20280929,20221027,再22转债,100.0
118022.SH,688779.SH,15.53,20281011,20221107,锂科转债,100.0
113659.SH,603355.SH,31.72,20281014,20221115,莱克转债,100.0
127075.SZ,002455.SZ,7.53,20281019,20221116,百川转2,100.0
118025.SH,688301.SH,114.97,20281024,20221118,奕瑞转债,100.0
118024.SH,688772.SH,22.89,20281024,20221117,冠宇转债,100.0
127076.SZ,002891.SZ,27.46,20281025,20221121,中宠转2,100.0
123165.SZ,300041.SZ,15.2,20281027,20221115,回天转债,100.0
111009.SH,605138.SH,10.56,20281107,20221201,盛泰转债,100.0
111010.SH,605358.SH,33.59,20281114,20221207,立昂转债,100.0
113660.SH,603896.SH,36.84,20281117,20221212,寿22转债,100.0
113661.SH,603806.SH,14.74,20281122,20221222,福22转债,100.0
123168.SZ,300891.SZ,10.74,20281123,20221214,惠云转债,100.0
113663.SH,603867.SH,19.81,20281128,20221216,新化转债,100.0
123171.SZ,300966.SZ,27.12,20281128,20221216,共同转债,100.0
118027.SH,688066.SH,40.94,20281128,20221222,宏图转债,100.0
127078.SZ,002998.SZ,6.48,20281214,20230109,优彩转债,100.0
118029.SH,688350.SH,18.6,20281215,20230109,富淼转债,100.0
123172.SZ,301017.SZ,14.95,20281215,20230106,漱玉转债,100.0
113665.SH,603176.SH,6.29,20281215,20230111,汇通转债,100.0
127079.SZ,003043.SZ,30.73,20281216,20230116,华亚转债,100.0
118030.SH,688002.SH,39.12,20281230,20230210,睿创转债,100.0
123173.SZ,300605.SZ,13.77,20281230,20230208,恒锋转债,100.0
127080.SZ,003004.SZ,28.94,20281230,20230210,声迅转债,100.0
111012.SH,605488.SH,9.56,20290104,20230207,福新转债,100.0
110092.SH,600370.SH,3.02,20290106,20230207,三房转债,100.0
118031.SH,688599.SH,16.0,20290213,20230315,天23转债,100.0
123175.SZ,300614.SZ,20.4,20290222,20230317,百畅转债,100.0
113666.SH,603529.SH,37.45,20290223,20230320,爱玛转债,100.0
123176.SZ,300567.SZ,64.71,20290302,20230322,精测转2,100.0
123177.SZ,300826.SZ,13.15,20290302,20230324,测绘转债,100.0
127081.SZ,001212.SZ,14.76,20290303,20230425,中旗转债,100.0
123178.SZ,300401.SZ,13.45,20290306,20230323,花园转债,100.0
123179.SZ,300973.SZ,95.13,20290307,20230327,立高转债,100.0
111013.SH,605162.SH,8.67,20290308,20230505,新港转债,100.0
118032.SH,688357.SH,71.71,20290308,20230407,建龙转债,100.0
123180.SZ,300837.SZ,47.89,20290309,20230328,浙矿转债,100.0
127082.SZ,002540.SZ,5.29,20290309,20230427,亚科转债,100.0
110816.SH,605090.SH,22.68,20290310,20230911,九丰定02,100.0
110093.SH,600810.SH,8.11,20290316,20230420,神马转债,100.0
113066.SH,601666.SH,7.52,20290316,20230410,平煤转债,100.0
113667.SH,603890.SH,10.15,20290317,20230411,春23转债,100.0
118033.SH,688268.SH,82.75,20290321,20230414,华特转债,100.0
123182.SZ,300900.SZ,22.84,20290322,20230417,广联转债,100.0
123183.SZ,300501.SZ,17.29,20290323,20230420,海顺转债,100.0
127083.SZ,000498.SZ,7.61,20290324,20230426,山路转债,100.0
127084.SZ,000528.SZ,7.3,20290327,20230420,柳工转2,100.0
123185.SZ,301046.SZ,22.15,20290331,20230420,能辉转债,100.0
123187.SZ,301186.SZ,30.98,20290404,20230425,超达转债,100.0
123188.SZ,300740.SZ,13.54,20290404,20230425,水羊转债,100.0
123189.SZ,300967.SZ,19.34,20290406,20230425,晓鸣转债,100.0
127085.SZ,002120.SZ,11.73,20290411,20230523,韵达转债,100.0
123193.SZ,300787.SZ,14.7,20290413,20230509,海能转债,100.0
123192.SZ,300856.SZ,17.39,20290413,20230511,科思转债,100.0
123194.SZ,301015.SZ,25.36,20290414,20230505,百洋转债,100.0
123195.SZ,300487.SZ,59.38,20290417,20230508,蓝晓转02,100.0
113670.SH,603180.SH,37.64,20290417,20230516,金23转债,100.0
123196.SZ,300645.SZ,21.93,20290418,20230519,正元转02,100.0
118034.SH,688223.SH,6.35,20290420,20230519,晶能转债,100.0
110815.SH,605090.SH,20.25,20281229,20231229,九丰定01,100.0
123197.SZ,300480.SZ,21.15,20290508,20230529,光力转债,100.0
123198.SZ,301098.SZ,7.55,20290608,20230707,金埔转债,100.0
118035.SH,688103.SH,62.54,20290612,20230706,国力转债,100.0
127086.SZ,002237.SZ,11.19,20290612,20230707,恒邦转债,100.0
123199.SZ,300452.SZ,13.3,20290612,20230707,山河转债,100.0
111014.SH,605337.SH,18.37,20290620,20230713,李子转债,100.0
118036.SH,688589.SH,23.93,20290628,20230720,力合转债,100.0
127088.SZ,002810.SZ,16.76,20290703,20230719,赫达转债,100.0
123203.SZ,300739.SZ,11.76,20290703,20230719,明电转02,100.0
111015.SH,605177.SH,20.28,20290706,20230802,东亚转债,100.0
