trade_date,heavy_nav,light_nav,relative_strength,rs_ma20,rs_ma60
2026-03-13,117.85228010169004,106.75891555806783,110.39104273927207,108.97906671200982,101.24933798201097
2026-03-16,118.52388860886845,107.89302901195255,109.85314778375366,109.0252343193559,101.53868669443273
2026-03-17,118.90711783092887,108.04067850977512,110.05772961724838,109.10167098908866,101.81318924618294
2026-03-18,117.7489748810204,106.25578008964266,110.81653608084335,109.23473393393738,102.11418427491205
2026-03-19,117.44871567068158,105.91897960235998,110.88542970448397,109.3283017924513,102.42578763345158
2026-03-20,115.3250138924121,104.3977893728369,110.46691178541215,109.4280257185195,102.72481121543359
2026-03-23,116.76370111222656,105.58233491537796,110.59018651729026,109.48174908874375,103.02464970089959
2026-03-24,118.28070712030339,104.95630251629535,112.69519246063314,109.64175308308002,103.36352658373659
2026-03-25,119.03865424943605,105.66102337715097,112.66089466551388,109.85327044642342,103.70115922736501
2026-03-26,118.67492582101295,103.67122833643836,114.47238324975176,110.12858729044846,104.06209284405728
2026-03-27,118.85704541618863,101.55375865443462,117.03854883464564,110.49641470915715,104.46130721137234
2026-03-30,118.41308527354538,101.39350165965257,116.7856749548136,110.79892482432106,104.85642137021982
2026-03-31,119.55778493896383,104.4362073802097,114.47924808654018,111.02134586381707,105.18304897883624
2026-04-01,119.37584175705034,105.3164879475604,113.34962272620639,111.24554862189866,105.48491333019486
2026-04-02,119.51704842870072,105.0765148595602,113.74287450287153,111.52609336733163,105.80320452878384
2026-04-06,119.66491785406077,105.36457179096973,113.57225281706754,111.76847098118301,106.14920678140714
2026-04-07,119.82695407298903,105.24931398093278,113.85057967664964,112.05713379927818,106.47464446321352
2026-04-08,121.22871147429177,107.83437849250339,112.42120849495095,112.29686285628308,106.76913491613651
2026-04-09,121.35684753440532,108.42146830312593,111.93064384178464,112.49096569358353,107.0534904385885
2026-04-10,121.08042931055098,108.11990356447157,111.98717841840387,112.60236434790684,107.32110272867206
2026-04-13,121.1509181562591,109.26067673948549,110.88245265506087,112.62693484369626,107.54810795081985
2026-04-14,120.59220982313128,110.87469124446223,108.76441545820713,112.57249822741895,107.73379549800917
2026-04-15,119.45530751961928,111.72390627163136,106.92009571272129,112.41561653219257,107.88196492565999
2026-04-16,120.17539575795524,112.04414571352982,107.25718420417529,112.23764893835919,108.02461609977398
